#id;sud;broj presude;sudija;krivicno delo;vrsta presude;primenjeni zakoni
1;Osnovni sud u Bijelom Polju;64691;Rahmo Banda;Osudjujuca;čl 152 KZCG čl 52 KZCG čl 53 KZCG, čl 373 ZOKP, čl 226 ZOKP čl 229 ZOKP
2;Osnovni sud u Rožajama;371714;Camić Zahit;Osudjujuca;čl 264 KZCG čl 324 KZCG čl 32 KZCG, ZOKP čl 264 ZOKP čl 374 ZOKP
3;Osnovni sud u Rožajama;301677;Milosav Zekić;Osudjujuca;čl 264 KZCG čl 52 KZCG čl 53 KZCG, čl 303 ZOKP čl 374 ZOKP čl 229 ZOKP
4;Osnovni sud u Danilovgradu;3730;Vladimir Novović;Osudjujuca;čl 414 KZCG čl 161 KZCG čl 227 KZCG, čl 212 ZOKP čl 119 ZOKP čl 199 ZOKP
